filepath,feature,label
drivers_license/drivers_license_3.jpg,"HAWAIL LICENSE NUMBER 04 -47-87441 19S Peace 06/03/2008 EYES “Sax CTY M 0 ISSUE DA 06/18/1998 TO Wie pe wom ST HONOLULU, HI 96820 ",drivers_license
drivers_license/drivers_license_1.jpg,"(ANY STATE DRIVER LICENSE License No. P99999999 Expires 00-00-00 JOE A SAMPLE 123 ANY STREET ANYTOWN, ANY STATE 99999 €4 Sex: M Hair: Black Ht: 6-03 Wt: 200 Eyes: Brown DOB: 01-01-81 © Vn ",drivers_license
drivers_license/drivers_licence_2.jpg,DRIVING LICENCE 1. TROTTER 2. DEL 3. 30.8.58 ENGLAND 4. 13-95 Labiuve ss. rtinson 8.3 WHEELER ONLY ,drivers_license
drivers_license/new_jersey_driving_license.jpg,"NEW J ERSEY goth Qe idihten ie o. X9999 bee 99998 crass D BOAT oe) vos 05-20-1 Iss 06-20-2096 exe 05-20-2020 SAMPLE 4 A : 123 NORTH STA ET TRENTON, eno NONE restR NONE ",drivers_license
bank_statement/Bank-Statement-Template-2-TemplateLab.pdf,Issue Date: Period: Account Activity Date Payment Type Paid In Paid Out Balance Your Account Statement Detail Note:,bank_statement
bank_statement/Chase-Bank-Statement-TemplateLab.com_.docx,"March01, 2016 through May 30,2016 JPMorgan Chase Bank, N.A. Account Number: 000000593037148 PO Box 659754 San Antonio, TX 78265-9754 CUSTOMER SERVICE INFORMATION Web site: chase.com Service Center: 1-800-242-7338 Hearing Impaired: 1-800-242-7383 Para Espanol: 1-888-622-4273 International Calls: 1-713-262-1679 HUSTLIN 4 A LIVIN ENT, INC. 2124 N. CARROLL AVE SUITE 9 DALLAS TX, 75204 Chase Business Select Checking CHECKING SUMMARY INSTANCES AMOUNT Beginning Balance $15,050.80 Deposits and Additions 2 130.00 Electronic Withdrawals 2 -356.04 Ending Balance 4 $14,824.76 Your monthly service fee was waived because you maintained an average checking balance of $7,500.00 or a minimum checking balance of $5,000.00 or more during the statement period. DEPOSIT AND ADDITIONS DATE DESCRIPTION AMOUNT 09/15 ATM Check Deposit $125.00 09/15 ATM Cash Deposit 5.00 Total Deposits and Additions $130.00 DEPOSIT AND ADDITIONS DATE DESCRIPTION AMOUNT 09/30 Qwest 8002441111 Telephone 2063864199818 CCID ID : 9Qc0273801 $249.96 09/30 Qwest 8002441111 Telephone 2063654528111 CCID ID : 9Qc0273801 106.08 Total Electronic Withdrawals $356.04 DAILY ENDING BALANCE DATE AMOUNT 09/15 $15,180.80 09/30 14,824.76",bank_statement
bank_statement/Bank-Statement-Template-4-TemplateLab.pdf,Branch Name: SUMMARY Card Type Previous Balance Payment / Credits and Rebates Purchases and Advances Installment Due Finance Charges and Other Fees Late Payment Charges Amount Due Unbilld Loan Amount TRANSACTION Date Amount Statement of Account Customer Number: Statement Date: Payment Due Date: Credit Limit: Total Amount Due: Past Due Amount Unbilled Installment Amount Total Outstanding Balance Description REMINDER,bank_statement
bank_statement/Bank-of-America-Bank-Statement-TemplateLab.com_.docx,"P.O. Box 15284 Wilmington, DE 19850 Customer service information Customer service 1.800.432.1000 TDD/TTY users only: 1.800.288.4408 WILLIAM SMITH 3314 E KELTON LN UNIT 105 PHOENIX, AZ 85032-2762En Español: 1.800.688.6086 bankofamerica.com Bank of America, N.A. P.O. Box 25118 Tampa, FL 33622-5118 Your BofA Core Checking for December 20, 2016 to January 19, 2017 Account Number: 4570 3064 5567 WILLIAM SMITH Account Summary Beginning balance on December 20, 2016 $356.41 Deposits and other additions 3,921.69 ATM and debit card subtractions -3,318.28 Other subtractions -284.36 Checks -85.00 Service fees -12.00 Ending balance on January 19, 2017 $578.46 Here’s a tip Don’t miss important account notifications – keep your contact information updated. It’s quick and easy to keep your phone number, email and mailing address up to date. Go to Profile & Settings and review your information. You’ll help make sure you receive all of your notices and help stay on top of your account. Is your contact info up to date? Check now in Online Banking at bankofamerica.com.",bank_statement
bank_statement/Bank-Statement-Template-3-TemplateLab.pdf,BRANCH NAME CARD NUMBER ACCOUNT NUMBER PERIOD PAGE of Date Credit Debit Balance Note: ADDRESS Statement of Account Personal Current Account CUSTOMER NAME Reference Transaction Description OPENING BALANCE TOTAL CREDIT TOTAL DEBIT CLOSING BALANCE Total,bank_statement
bank_statement/bank_statement_3.pdf,Bank 3 of Testing Customer Support: 1-800-555-1234 www.fakebankdomain.com Account Holder: John Doe 3 Account Number: XXXX-XXXX-XXXX-6783 Statement Period: 2023-03 Date Description Debit ($) Credit ($) 06/03/2023 Direct Deposit 309.02 08/03/2023 Wire Transfer 320.16 24/03/2023 Debit Card Purchase 243.04 11/03/2023 Direct Deposit 20.34 19/03/2023 POS Purchase 234.84 02/03/2023 ACH Payment 668.44 04/03/2023 Bank Fee 225.44 21/03/2023 Wire Transfer 666.55 24/03/2023 ATM Withdrawal 323.07 09/03/2023 Direct Deposit 628.55 09/03/2023 Check Deposit 278.43 17/03/2023 Check Deposit 26.93 04/03/2023 POS Purchase 264.56 01/03/2023 Loan Repayment 253.02 05/03/2023 Loan Repayment 542.94 01/03/2023 POS Purchase 323.44 25/03/2023 ACH Payment 60.33 Bank 3 - Confidential Statement | Page 1Bank 3 of Testing Customer Support: 1-800-555-1234 www.fakebankdomain.com 15/03/2023 Debit Card Purchase 557.94 10/03/2023 ATM Withdrawal 503.97 21/03/2023 ATM Withdrawal 439.14 08/03/2023 Loan Repayment 605.61 End of Statement Bank 3 - Confidential Statement | Page 2,bank_statement
